Wall time,Step,Value
1539865493.2290888,0,2410.703857421875
1539865522.978102,1000,2334.8447265625
1539865552.6680648,2000,2313.50439453125
1539865601.3232584,3000,2271.5205078125
1539865633.9448998,4000,2260.226318359375
1539865668.831754,5000,2252.3828125
1539865717.9863355,6000,2245.911865234375
1539865750.2646403,7000,2242.869140625
1539865782.458383,8000,2239.4912109375
1539865835.7203426,9000,2235.813232421875
1539865867.5789316,10000,2235.09423828125
1539865899.4295862,11000,2227.69287109375
1539865949.8439248,12000,2229.223388671875
1539865985.0394957,13000,2219.988037109375
1539866016.8842788,14000,2224.709228515625
1539866065.9060848,15000,2223.1484375
1539866098.101071,16000,2218.041015625
1539866130.4431753,17000,2217.21923828125
1539866183.1634557,18000,2217.767822265625
1539866215.1119375,19000,2219.5048828125
1539866247.2125947,20000,2208.857666015625
1539866297.6241202,21000,2205.08203125
1539866332.6560912,22000,2212.197021484375
1539866368.1159701,23000,2210.386962890625
1539866417.078148,24000,2209.11376953125
1539866450.5521042,25000,2203.298583984375
1539866497.2898304,26000,2202.630859375
1539866553.6455214,27000,2199.687255859375
1539866587.105461,28000,2201.224365234375
1539866622.7136717,29000,2197.980224609375
1539866685.7432485,30000,2201.59423828125
1539866732.205594,31000,2199.10595703125
1539866767.9218245,32000,2205.1005859375
1539866824.4626048,33000,2195.273681640625
1539866863.2098467,34000,2192.912353515625
1539866895.3935645,35000,2191.998291015625
1539866964.9215534,36000,2194.629638671875
1539866997.1816823,37000,2190.1767578125
1539867040.416562,38000,2188.725830078125
1539867094.9337153,39000,2183.392822265625
1539867129.9608128,40000,2187.4912109375
1539867162.6108441,41000,2185.19482421875
1539867214.9873955,42000,2187.728271484375
1539867247.3052056,43000,2189.24658203125
1539867288.547763,44000,2177.117431640625
1539867361.6919348,45000,2188.773193359375
1539867393.7633083,46000,2176.32080078125
1539867426.0961857,47000,2174.7802734375
1539867475.0535188,48000,2181.782958984375
1539867527.4249332,49000,2182.1572265625
1539867559.4446194,50000,2186.76806640625
1539867609.915668,51000,2175.898193359375
1539867657.6258404,52000,2171.482666015625
1539867691.043606,53000,2180.266357421875
1539867752.0893471,54000,2176.17919921875
1539867784.069894,55000,2168.91845703125
1539867816.0360594,56000,2183.422119140625
1539867865.2443748,57000,2166.973388671875
1539867907.6136727,58000,2165.12646484375
1539867939.459352,59000,2174.6484375
1539867989.2683516,60000,2171.12939453125
1539868021.1770072,61000,2170.603515625
1539868053.1908414,62000,2166.55126953125
1539868107.2171924,63000,2163.169921875
1539868139.0939307,64000,2163.146484375
1539868170.8256016,65000,2164.41015625
1539868220.121379,66000,2166.36279296875
1539868255.0894096,67000,2161.96923828125
1539868287.068442,68000,2160.706787109375
1539868335.7549126,69000,2153.23779296875
1539868367.6190257,70000,2164.511474609375
1539868399.3187997,71000,2158.95703125
1539868452.4386456,72000,2164.19677734375
1539868484.1141067,73000,2164.4267578125
1539868515.8851678,74000,2159.2080078125
1539868565.0750349,75000,2152.640380859375
1539868600.401797,76000,2168.769287109375
1539868632.1164205,77000,2166.01123046875
1539868681.018781,78000,2158.501953125
1539868712.856452,79000,2159.37841796875
1539868744.8231785,80000,2159.7763671875
1539868805.0983438,81000,2151.113525390625
1539868844.4724574,82000,2154.326416015625
1539868880.0539098,83000,2150.45654296875
1539868935.1393573,84000,2153.285400390625
1539868980.8226247,85000,2151.1669921875
1539869022.8178983,86000,2160.00048828125
1539869071.598786,87000,2152.73046875
1539869103.6367896,88000,2148.303466796875
1539869135.5534427,89000,2150.614501953125
1539869189.1653636,90000,2150.5546875
1539869220.922778,91000,2152.933837890625
1539869252.8641357,92000,2148.7236328125
1539869301.8514473,93000,2144.322998046875
1539869336.976135,94000,2145.21728515625
1539869368.9362612,95000,2152.7734375
1539869418.7076504,96000,2146.446044921875
1539869450.563751,97000,2139.168212890625
1539869482.5347376,98000,2145.280029296875
1539869536.2666595,99000,2143.60302734375
1539869568.2837832,100000,2135.770751953125
1539869600.1321728,101000,2129.777587890625
1539869649.5581932,102000,2141.35498046875
1539869684.7893388,103000,2139.045166015625
1539869716.807623,104000,2136.76953125
1539869766.292802,105000,2129.399658203125
1539869798.4433286,106000,2146.565673828125
1539869830.3294418,107000,2147.235107421875
1539869884.1491563,108000,2137.209716796875
1539869916.2864795,109000,2136.000732421875
1539869948.3309643,110000,2132.8369140625
1539869997.8105874,111000,2141.03466796875
1539870033.0325806,112000,2131.2998046875
1539870065.0384169,113000,2134.04296875
1539870114.0505943,114000,2134.000244140625
1539870145.943106,115000,2139.611572265625
1539870177.88304,116000,2134.615234375
1539870231.1749241,117000,2137.50341796875
1539870263.3697283,118000,2126.07470703125
1539870295.4128096,119000,2137.239990234375
1539870344.7337542,120000,2122.726806640625
1539870380.052521,121000,2140.47265625
1539870412.2968824,122000,2135.0224609375
1539870461.5406923,123000,2131.376708984375
1539870493.4608977,124000,2130.78369140625
1539870525.2696242,125000,2129.503173828125
1539870578.3301022,126000,2123.302978515625
1539870610.287243,127000,2127.833740234375
1539870642.4049072,128000,2124.27685546875
1539870691.7745245,129000,2119.798095703125
1539870726.324972,130000,2128.417236328125
1539870758.952366,131000,2124.243896484375
1539870808.1770732,132000,2124.3447265625
1539870840.3091002,133000,2116.899658203125
1539870872.5170753,134000,2125.36083984375
1539870924.927353,135000,2130.51953125
1539870957.0571628,136000,2115.841064453125
1539870989.218577,137000,2126.484130859375
1539871038.2499387,138000,2121.525146484375
1539871072.412576,139000,2124.98583984375
1539871105.6592553,140000,2127.31005859375
1539871154.7913864,141000,2115.873779296875
1539871187.1039805,142000,2120.6298828125
1539871219.1685772,143000,2119.3828125
1539871271.4212902,144000,2110.048828125
1539871303.7479372,145000,2123.81298828125
1539871335.5510714,146000,2125.061279296875
1539871384.5320363,147000,2110.687255859375
1539871417.1664646,148000,2118.310546875
1539871451.0390804,149000,2111.01904296875
1539871500.3026397,150000,2118.990478515625
1539871532.1697948,151000,2123.07275390625
1539871563.9317963,152000,2116.39794921875
1539871615.5263999,153000,2122.26318359375
1539871647.439833,154000,2113.930419921875
1539871679.4315362,155000,2119.9951171875
1539871728.7973845,156000,2109.940673828125
1539871760.9007504,157000,2112.303466796875
1539871795.7466006,158000,2121.225830078125
1539871844.6344728,159000,2116.149169921875
1539871876.5003188,160000,2122.371337890625
1539871908.609647,161000,2121.5322265625
1539871960.5131004,162000,2112.419921875
1539871992.528596,163000,2107.70849609375
1539872024.2779949,164000,2118.553955078125
1539872073.4575744,165000,2108.840576171875
1539872105.3857496,166000,2112.972900390625
1539872140.1207829,167000,2108.282470703125
1539872189.2410069,168000,2113.822265625
1539872221.0742702,169000,2113.466064453125
1539872252.9885442,170000,2110.44384765625
1539872305.5118673,171000,2113.54150390625
1539872337.5353367,172000,2111.197265625
1539872369.4435472,173000,2109.51708984375
1539872419.2645428,174000,2107.8046875
1539872451.3433166,175000,2105.864501953125
1539872486.6299827,176000,2105.03857421875
1539872536.218713,177000,2107.4287109375
1539872568.3277779,178000,2110.756103515625
1539872600.2474573,179000,2109.966552734375
1539872652.8298628,180000,2109.79541015625
1539872684.711288,181000,2109.934326171875
1539872716.8231342,182000,2113.99560546875
1539872766.1290839,183000,2104.462890625
1539872797.900533,184000,2107.422607421875
1539872833.0038502,185000,2105.388916015625
1539872882.356665,186000,2099.671630859375
1539872914.4313571,187000,2107.84521484375
1539872946.2355123,188000,2106.631103515625
1539872998.2311141,189000,2103.028564453125
1539873030.2688057,190000,2102.7880859375
1539873062.1573563,191000,2102.443603515625
1539873111.3069756,192000,2088.661865234375
1539873143.243453,193000,2104.584228515625
1539873178.452351,194000,2114.019775390625
1539873227.639727,195000,2106.229248046875
1539873259.3781834,196000,2098.347900390625
1539873291.2827795,197000,2104.2587890625
1539873341.3380961,198000,2095.22802734375
1539873375.4410636,199000,2095.180908203125
1539873407.3249211,200000,2099.4697265625
1539873456.6066961,201000,2096.97216796875
1539873488.5968373,202000,2095.615234375
1539873523.7930403,203000,2105.07666015625
1539873572.9046843,204000,2116.331787109375
1539873604.8134124,205000,2096.74609375
1539873636.795058,206000,2091.07080078125
1539873685.7489212,207000,2094.34765625
