Wall time,0,meta_train_loss,train_loss
1539605500,0,1770.34668,1938.549438
1539605548,2000,1495.603271,1676.814575
1539605596,2,1365.711426,1547.537842
1539605676,3,1122.581055,1327.797974
1539605723,4,1038.250732,1223.599854
1539605771,5,962.9450073,1174.959595
1539605856,6,679.4182129,1047.197998
1539605903,7,691.4675293,1020.391174
1539605951,8,650.2489624,998.7611084
1539606030,9,441.0405579,881.8297119
1539606077,10,450.0658569,874.8510742
1539606124,11,466.7422485,875.9710693
1539606203,12,415.2656555,756.6373291
1539606250,13,411.7884521,768.359314
1539606298,14,402.5720825,764.652771
1539606377,15,333.804657,628.7940674
1539606424,16,348.9385376,662.9771118
1539606472,17,349.3171082,673.8601685
1539606551,18,268.3813477,531.083374
1539606598,19,293.9980164,565.4752808
1539606646,20,290.3343811,582.2579956
1539606725,21,227.7922516,438.6869202
1539606772,22,239.6937103,471.2850647
1539606820,23,244.4123077,506.8939209
1539606899,24,180.8804321,355.0263977
1539606947,25,204.0979614,406.5103455
1539606995,26,212.0143127,426.3316345
1539607075,27,151.2505646,289.3948669
1539607123,28,169.729126,337.3050537
1539607171,29,177.0189056,362.8166199
1539607252,30,135.9794769,232.396286
1539607299,31,151.6320648,289.9178772
1539607347,32,160.9136658,300.7749939
1539607427,33,116.3668747,191.7825012
1539607475,34,122.4751892,227.1788177
1539607522,35,136.0986938,257.8303528
1539607603,36,95.71622467,166.7714081
1539607651,37,126.4955215,216.9491425
1539607699,38,115.0477219,220.323761
1539607779,39,82.37289429,120.3627319
1539607827,40,94.59746552,163.197113
1539607875,41,106.999176,189.8300629
1539607955,42,86.79066467,121.5785217
1539608003,43,84.41184998,138.5483551
1539608051,44,91.68584442,152.8264465
1539608132,45,80.02783966,100.6380539
1539608180,46,76.03495026,120.1104507
1539608228,47,72.92598724,153.9620972
1539608307,48,73.11290741,74.5307312
1539608355,49,71.18106079,123.3451538
1539608403,50,71.12778473,120.0154037
1539608483,51,53.08607864,68.87359619
1539608531,52,58.82504272,96.44013977
1539608579,53,64.52155304,86.19283295
1539608660,54,55.80143738,63.8202095
1539608707,55,48.42726517,76.59949493
1539608755,56,65.26439667,93.48912048
1539608835,57,40.35086823,72.53505707
1539608882,58,56.84021378,89.64545441
1539608930,59,59.6223793,87.82020569
1539609010,60,46.5396347,43.25592041
1539609058,61,36.370121,68.22142792
1539609105,62,54.42570496,79.55603027
1539609186,63,31.24089241,41.88861847
1539609234,64,36.60216904,65.93622589
1539609282,65,49.22278214,75.26048279
1539609362,66,34.40412903,44.75172424
1539609410,67,48.53570557,53.97668839
1539609458,68,54.84745407,77.54048157
1539609538,69,38.02547455,37.38064194
1539609586,70,47.45971298,31.71469688
