Wall time,Step,Value
1539864285.1809824,0,2333.77880859375
1539864315.7675786,1000,2230.640380859375
1539864345.21437,2000,2214.492919921875
1539864388.3083534,3000,2162.661376953125
1539864417.594299,4000,2123.305419921875
1539864447.0104518,5000,2103.289306640625
1539864489.6512163,6000,1805.2569580078125
1539864517.283545,7000,1799.28955078125
1539864545.928986,8000,1789.3612060546875
1539864588.829777,9000,1156.006103515625
1539864618.3118896,10000,1161.989501953125
1539864646.632552,11000,1101.326416015625
1539864688.8937204,12000,1419.58251953125
1539864717.3745031,13000,1429.7657470703125
1539864746.23783,14000,1381.2637939453125
1539864788.8768237,15000,1434.4849853515625
1539864817.5741067,16000,1431.7384033203125
1539864846.1580472,17000,1408.734130859375
1539864889.4202654,18000,1424.728515625
1539864918.4216824,19000,1404.6143798828125
1539864946.679102,20000,1407.9901123046875
1539864989.9755666,21000,1420.810791015625
1539865018.5116122,22000,1409.580810546875
1539865047.4086087,23000,1409.6826171875
1539865090.020299,24000,1437.471435546875
1539865118.6998365,25000,1432.893798828125
1539865146.8895128,26000,1434.1749267578125
1539865188.721043,27000,1435.7061767578125
1539865217.6390715,28000,1433.9256591796875
1539865246.81189,29000,1461.672119140625
1539865289.4475188,30000,1459.4761962890625
1539865318.5907474,31000,1472.4715576171875
1539865347.6357336,32000,1456.6046142578125
1539865390.4906032,33000,1481.21826171875
1539865419.6074612,34000,1429.743408203125
1539865448.5888803,35000,1494.39208984375
1539865518.897368,36000,1466.019775390625
1539865573.938132,37000,1451.007568359375
1539865624.5620778,38000,1456.8779296875
1539865695.076905,39000,1471.817626953125
1539865745.0644798,40000,1463.986083984375
1539865794.8208885,41000,1510.23095703125
1539865865.0456138,42000,1471.326416015625
1539865914.798187,43000,1513.384521484375
1539865965.1700385,44000,1481.62744140625
1539866036.0022023,45000,1528.86181640625
1539866086.4643476,46000,1507.5634765625
1539866136.8176768,47000,1504.2371826171875
1539866208.5783713,48000,1514.1268310546875
1539866258.3132808,49000,1493.637939453125
1539866308.5696769,50000,1496.463623046875
1539866382.0126786,51000,1530.66259765625
1539866432.9879255,52000,1545.4295654296875
1539866498.9894638,53000,1534.251708984375
1539866575.9425104,54000,1534.082275390625
1539866632.8399978,55000,1507.450439453125
1539866694.5577414,56000,1540.9581298828125
1539866785.4396338,57000,1545.817138671875
1539866843.2993941,58000,1541.9014892578125
1539866893.3937705,59000,1533.0831298828125
1539866983.7228346,60000,1553.4393310546875
1539867045.6212802,61000,1596.9346923828125
1539867103.2090943,62000,1570.543701171875
1539867173.1883087,63000,1571.424072265625
1539867228.0700731,64000,1568.14404296875
1539867286.9979033,65000,1558.6026611328125
1539867380.6579719,66000,1585.5257568359375
1539867430.8679984,67000,1569.474853515625
1539867485.677412,68000,1550.3531494140625
1539867568.4924285,69000,1618.2078857421875
1539867626.2359934,70000,1581.1942138671875
1539867689.8110702,71000,1553.6851806640625
1539867771.0068576,72000,1587.5550537109375
1539867821.3993268,73000,1612.0386962890625
1539867872.0870066,74000,1602.4500732421875
1539867950.1590946,75000,1602.3609619140625
1539868000.2625985,76000,1593.4339599609375
1539868051.1297634,77000,1594.94873046875
1539868126.128099,78000,1580.1533203125
1539868177.1011372,79000,1570.0816650390625
1539868227.9182224,80000,1613.680419921875
1539868298.902207,81000,1600.545166015625
1539868349.9822087,82000,1607.2406005859375
1539868401.1142783,83000,1616.7330322265625
1539868475.1803763,84000,1613.8201904296875
