Wall time,Step,Value
1539434950.0064645,0,2296.060546875
1539434963.5887983,1,2090.016845703125
1539434977.1712427,2,1855.678955078125
1539435004.0362124,3,1680.668701171875
1539435017.4924576,4,1606.346435546875
1539435031.0742025,5,1537.27392578125
1539435057.6419625,6,1467.895751953125
1539435071.2548263,7,1435.7138671875
1539435084.8398669,8,1406.4268798828125
1539435111.7014873,9,1344.885498046875
1539435125.1913247,10,1313.5853271484375
1539435138.799423,11,1301.844482421875
1539435165.5339303,12,1243.9063720703125
1539435179.0716493,13,1223.029052734375
1539435192.6394203,14,1215.1500244140625
1539435219.4533355,15,1180.460693359375
1539435233.038658,16,1141.283935546875
1539435246.5244858,17,1147.9500732421875
1539435273.5208423,18,1094.4971923828125
1539435287.1185055,19,1090.8948974609375
1539435300.6524825,20,1104.203125
1539435327.3883126,21,1033.346435546875
1539435340.9056373,22,1039.364013671875
1539435354.3782623,23,1055.508056640625
1539435381.0385091,24,996.135009765625
1539435394.6782093,25,1000.2113647460938
1539435408.1716506,26,998.2448120117188
1539435435.121532,27,964.7960815429688
1539435448.6318202,28,949.6458740234375
1539435462.0110817,29,963.768798828125
1539435488.869376,30,917.6531372070312
1539435502.3468046,31,919.8775634765625
1539435515.8757977,32,925.3406372070312
1539435542.5676413,33,881.6748657226562
1539435556.1940455,34,893.5037231445312
1539435569.8155634,35,895.4757080078125
1539435596.5562768,36,832.4694213867188
1539435610.0357075,37,853.8696899414062
1539435623.4667597,38,884.141845703125
1539435650.3052893,39,808.1985473632812
1539435663.678374,40,831.5850219726562
1539435677.2231574,41,836.6702880859375
1539435704.1067002,42,779.1832275390625
1539435717.7365782,43,799.5977172851562
1539435731.2116175,44,821.8522338867188
1539435758.0332203,45,766.7344360351562
1539435771.6692743,46,768.1279296875
1539435785.180416,47,792.78857421875
1539435812.1346767,48,713.7833251953125
1539435825.7708137,49,750.1119384765625
1539435839.232588,50,770.9476318359375
1539435866.0629332,51,691.5978393554688
1539435879.6374326,52,726.9765014648438
1539435893.216467,53,748.5913696289062
1539435920.1511583,54,670.18017578125
1539435933.7096822,55,701.98876953125
1539435947.2985594,56,740.4190063476562
1539435973.8625932,57,648.8698120117188
1539435987.4103825,58,684.0316772460938
1539436000.9929621,59,687.1515502929688
1539436027.9626603,60,616.9786987304688
1539436041.392195,61,670.7066650390625
1539436054.8467588,62,683.23681640625
1539436081.6186118,63,607.6881103515625
1539436095.1441424,64,633.3885498046875
1539436108.5858712,65,668.4052124023438
1539436135.2621942,66,580.7119750976562
1539436148.722451,67,620.4785766601562
1539436162.2024703,68,632.9483032226562
1539436188.8649147,69,550.006103515625
1539436202.400126,70,605.6708374023438
1539436215.9690905,71,626.6774291992188
1539436242.6671727,72,537.55908203125
1539436256.3550107,73,573.1672973632812
1539436269.9884772,74,610.0309448242188
1539436296.592234,75,529.6048583984375
1539436310.1398675,76,562.6660766601562
1539436323.674136,77,586.8967895507812
1539436350.4067812,78,498.65228271484375
1539436363.8792932,79,545.7523193359375
1539436377.4239135,80,572.8679809570312
1539436404.3770466,81,486.18231201171875
1539436417.9636502,82,527.8023681640625
1539436431.5427752,83,558.0615844726562
1539436458.0892015,84,462.8236389160156
1539436471.5554118,85,519.8516235351562
1539436485.1876292,86,541.2394409179688
1539436511.8559854,87,462.94512939453125
1539436525.4292216,88,504.42333984375
1539436539.0405302,89,521.4002685546875
1539436566.0198708,90,450.28302001953125
1539436579.4217584,91,478.5866394042969
1539436593.0649915,92,510.1460266113281
1539436619.8910403,93,433.18902587890625
1539436633.4075112,94,469.4491882324219
1539436647.0900655,95,492.2075500488281
1539436674.026284,96,425.18988037109375
1539436687.4956913,97,459.6587829589844
1539436701.051355,98,491.1053771972656
1539436727.8626997,99,398.4140319824219
1539436741.4608812,100,433.85015869140625
1539436754.9167,101,472.80267333984375
1539436781.6130247,102,379.38330078125
1539436795.0746756,103,431.45355224609375
1539436808.7964535,104,464.0102844238281
1539436835.508378,105,387.1657409667969
1539436849.0032613,106,436.6092529296875
1539436862.6087205,107,448.4072570800781
1539436889.4179375,108,373.9383850097656
1539436902.9167602,109,407.51739501953125
1539436916.4458601,110,447.2232666015625
1539436943.1322525,111,351.5499572753906
1539436956.420754,112,403.6022644042969
1539436969.82436,113,444.17742919921875
1539436996.7711294,114,336.4974060058594
1539437010.2564878,115,390.8333435058594
1539437023.7507644,116,430.5410461425781
1539437050.6568937,117,338.4915466308594
1539437064.2228937,118,380.6863098144531
1539437077.8121707,119,408.5350341796875
