Wall time,Step,Value
1539439683.4172747,0,2298.1630859375
1539439697.1841927,1,2147.05810546875
1539439710.9070146,2,1957.250732421875
1539439738.21956,3,1760.576171875
1539439752.0374303,4,1619.6405029296875
1539439765.881956,5,1521.362060546875
1539439793.2875752,6,1454.2076416015625
1539439807.2004697,7,1402.1134033203125
1539439821.0165188,8,1386.3311767578125
1539439848.3570035,9,1325.4720458984375
1539439862.2217698,10,1299.8946533203125
1539439876.0834277,11,1265.6981201171875
1539439903.5851765,12,1228.291015625
1539439917.4250398,13,1209.023681640625
1539439931.1687164,14,1183.6424560546875
1539439958.5877295,15,1143.9832763671875
1539439972.5033636,16,1134.8167724609375
1539439986.2782652,17,1126.5142822265625
1539440013.7016263,18,1073.0457763671875
1539440027.5703626,19,1081.2166748046875
1539440041.3997283,20,1059.417236328125
1539440068.683228,21,1022.973388671875
1539440082.5612679,22,1007.9765014648438
1539440096.4302025,23,1025.3829345703125
1539440123.9591682,24,972.7476806640625
1539440137.8196404,25,975.1956176757812
1539440151.6586335,26,978.9437866210938
1539440178.9781742,27,926.5999145507812
1539440192.7971828,28,939.2481079101562
1539440206.6919239,29,934.2144775390625
1539440234.146157,30,883.6729736328125
1539440248.0028937,31,900.47998046875
1539440261.6708977,32,915.9513549804688
1539440288.9707448,33,849.9381103515625
1539440302.773342,34,866.2293090820312
1539440316.5712686,35,868.1035766601562
1539440343.8959658,36,800.0830078125
1539440357.6619034,37,842.1188354492188
1539440371.6114974,38,837.3688354492188
1539440398.903994,39,787.5901489257812
1539440412.8114247,40,788.8313598632812
1539440426.74315,41,816.7813110351562
1539440454.1370645,42,754.1666259765625
1539440467.7985651,43,781.2966918945312
1539440481.7373478,44,782.5284423828125
1539440509.34397,45,728.6998291015625
1539440523.0094786,46,744.9017944335938
1539440536.7807648,47,755.334716796875
1539440564.3103857,48,696.1787719726562
1539440578.1273518,49,722.919921875
1539440591.8488538,50,745.1543579101562
1539440618.9992483,51,677.0299072265625
1539440632.7502732,52,704.10595703125
1539440646.4970622,53,704.7456665039062
1539440673.7768786,54,651.7879028320312
1539440687.6061687,55,677.8316040039062
