Wall time,Step,meta_train_loss,train_loss
1539485788,0,2281.710938,2298.163086
1539485808,1,2133.459717,2147.058105
1539485828,2,1728.100708,1957.250732
1539485863,3,1516.140015,1760.576172
1539485883,4,1430.411011,1619.640503
1539485904,5,1359.485596,1521.362061
1539485938,6,1133.56189,1454.207642
1539485958,7,1089.252197,1402.113403
1539485978,8,1041.911011,1386.331177
1539486012,9,842.7931519,1325.472046
1539486032,10,812.0065308,1299.894653
1539486052,11,781.9900513,1265.69812
1539486086,12,801.3546143,1228.291016
1539486106,13,785.0532837,1209.023682
1539486127,14,767.5974121,1183.642456
1539486161,15,732.3036499,1143.983276
1539486181,16,739.836853,1134.816772
1539486201,17,734.1207886,1126.514282
1539486236,18,688.1834106,1073.045776
1539486256,19,694.9854126,1081.216675
1539486276,20,690.041626,1059.417236
1539486310,21,661.5601196,1022.973389
1539486330,22,653.8204956,1007.976501
1539486351,23,640.3082275,1025.382935
1539486385,24,609.7590332,972.7476807
1539486405,25,625.5007324,975.1956177
1539486426,26,610.5859375,978.9437866
1539486460,27,565.749939,926.5999146
1539486480,28,596.6654053,939.2481079
1539486500,29,590.5635376,934.2144775
1539486535,30,541.8947144,883.6729736
1539486555,31,562.0338745,900.4799805
1539486575,32,573.6803589,915.951355
1539486609,33,519.5302734,849.9381104
1539486630,34,538.5447388,866.2293091
1539486650,35,538.6578369,868.1035767
1539486684,36,482.6845703,800.0830078
1539486704,37,522.7973633,842.1188354
1539486724,38,520.1723022,837.3688354
1539486758,39,464.0741272,787.5901489
1539486779,40,495.6123047,788.8313599
1539486799,41,493.1856689,816.781311
1539486833,42,445.6339722,754.166626
1539486853,43,456.6526489,781.2966919
1539486873,44,474.5285645,782.5284424
1539486908,45,420.7892151,728.6998291
1539486928,46,435.0585632,744.9017944
1539486948,47,465.2721252,755.3347168
1539486982,48,402.3753357,696.178772
1539487002,49,422.7794189,722.9199219
1539487022,50,442.901825,745.1543579
1539487056,51,374.2322693,677.0299072
1539487077,52,407.9028931,704.105957
1539487097,53,423.6710815,704.7456665
1539487131,54,363.5376587,651.7879028
1539487151,55,386.6246643,677.831604
1539487171,56,412.5967407,686.109436
1539487205,57,349.0917664,634.2354126
1539487226,58,370.0666504,651.914856
1539487246,59,388.9336853,660.4345093
1539487280,60,316.1506958,614.6115723
1539487300,61,368.5906067,625.1594238
1539487321,62,378.9072876,634.999939
1539487355,63,313.1788635,591.2415771
1539487375,64,354.0394287,613.8561401
1539487395,65,357.1606445,629.2424316
1539487429,66,303.896637,566.2515259
1539487449,67,328.2413025,602.1237793
1539487469,68,354.315979,613.6901245
1539487504,69,269.3443298,541.361084
1539487524,70,314.6726074,587.0240479
1539487544,71,348.2753296,585.5161133
1539487578,72,258.770874,519.6146851
1539487598,73,287.5913391,556.6177368
1539487618,74,314.5869751,577.6878052
1539487653,75,274.2825623,489.3944702
1539487673,76,294.2299194,537.4355469
1539487693,77,293.1272888,568.4863281
1539487727,78,260.5030823,486.1851807
1539487747,79,274.2648315,522.5940552
1539487767,80,308.1721802,544.1569824
1539487802,81,245.7157135,466.5768738
1539487822,82,264.4650269,514.7352905
1539487842,83,295.9827271,533.2171631
1539487876,84,226.9388123,446.5419617
1539487896,85,262.8059692,503.8173218
1539487916,86,263.8783569,520.7320557
1539487951,87,227.174408,431.2958679
1539487971,88,250.1955566,482.6311951
1539487991,89,270.0202026,504.6234741
1539488025,90,224.1561279,423.9887695
1539488046,91,235.443222,459.8489685
1539488066,92,257.4982605,488.2228088
1539488100,93,194.3097229,391.7020264
1539488121,94,229.0980225,456.4929504
1539488141,95,249.4790802,484.7532654
1539488176,96,205.9820099,397.7562866
1539488196,97,225.54776,438.1858826
1539488216,98,240.6601715,465.4169006
1539488250,99,194.2452087,371.3345947
1539488271,100,218.195816,428.3939209
1539488291,101,234.0203094,441.7767639
1539488325,102,181.4134369,373.4593201
1539488346,103,199.9358521,420.0693665
1539488366,104,232.7588654,445.5184326
1539488400,105,189.4515839,359.3252563
1539488420,106,199.768219,398.80896
1539488441,107,219.4320984,440.431366
1539488475,108,183.8356018,352.8062439
1539488495,109,177.9476776,386.9181519
1539488515,110,219.4061127,424.9517517
1539488550,111,168.602829,328.3240967
1539488570,112,198.3331604,365.9311218
